topic,top_terms
0,"musk, twitter, company, x, platform, medium, user, account, post, news"
1,"space, nasa, company, moon, mars, rocket, program, mission, shuttle, astronaut"
2,"trump, government, president, administration, department, house, state, news, agency, biden"
3,"president, state, campaign, election, video, obama, voter, i, party, that"
4,"tesla, car, vehicle, company, model, battery, market, technology, driver, percent"
5,"space, spacex, station, nasa, rocket, launch, dragon, flight, mission, capsule"
6,"city, home, child, science, man, research, story, family, university, idea"
7,"space, satellite, mission, earth, launch, air, force, rocket, orbit, system"
8,"plane, flight, pilot, air, company, system, passenger, aircraft, crash, statement"
9,"trump, president, kristen, welker, donald, bill, tariff, house, country, democrats"
